date_utc,amount,direction,indexPrice,instrument,iv,price,quantity,tickDirection,timeStamp,tradeId,tradeSeq
2019-05-30 21:18:59.803,6.0,sell,8287.58,BTC-27DEC19-32000-C,104.89,0.0285,6.0,1,1559251139803,22706760,1
2019-05-30 22:35:56.946,0.2,sell,8275.6,BTC-27DEC19-32000-C,105.14,0.0285,0.2,1,1559255756946,22745598,2
2019-05-30 22:35:58.344,0.2,sell,8276.02,BTC-27DEC19-32000-C,105.14,0.0285,0.2,1,1559255758344,22745600,3
2019-05-30 22:35:59.100,0.2,sell,8276.02,BTC-27DEC19-32000-C,105.14,0.0285,0.2,1,1559255759100,22745601,4
2019-05-30 22:36:00.645,0.2,sell,8275.67,BTC-27DEC19-32000-C,105.14,0.0285,0.2,1,1559255760645,22745602,5
2019-05-30 23:06:12.596,0.1,sell,8250.15,BTC-27DEC19-32000-C,105.32,0.0285,0.1,1,1559257572596,22748847,6
2019-05-31 04:58:18.313,3.1,sell,8172.74,BTC-27DEC19-32000-C,105.94,0.0285,3.1,1,1559278698313,22771009,7
2019-06-14 18:33:28.161,0.5,buy,8396.99,BTC-27DEC19-32000-C,94.3,0.013,0.5,2,1560537208161,24155076,8
2019-06-14 21:35:11.183,1.0,buy,8607.66,BTC-27DEC19-32000-C,94.79,0.0145,1.0,0,1560548111183,24173445,9
2019-06-15 06:44:03.300,0.1,buy,8703.04,BTC-27DEC19-32000-C,99.19,0.0195,0.1,0,1560581043300,24198504,10
2019-06-16 04:03:52.747,0.1,buy,9023.34,BTC-27DEC19-32000-C,96.95,0.0195,0.1,1,1560657832747,24276539,11
2019-06-16 04:56:01.755,4.0,buy,9053.47,BTC-27DEC19-32000-C,96.73,0.0195,4.0,1,1560660961755,24280672,12
2019-06-16 04:56:33.787,0.9,buy,9050.38,BTC-27DEC19-32000-C,96.76,0.0195,0.9,1,1560660993787,24280682,13
2019-06-17 06:48:01.788,0.1,sell,9144.91,BTC-27DEC19-32000-C,97.9,0.021,0.1,0,1560754081788,24469198,14
